club_id,club_name,competition_id,competition_name,country_name,season,season_label,previous_season_label,matches_played,wins,draws,losses,points_earned,points_per_match,win_percentage,goals_scored,goals_conceded,goal_difference,goal_difference_per_match,points_per_match_change,win_percentage_change,goal_difference_per_match_change,performance_direction
940,Celta de Vigo,ES1,laliga,Spain,2022,2022-23,2021-22,38,11,10,17,43,1.13,28.95,43,53,-10,-0.263,-0.08,-2.63,-0.263,Decline
940,Celta de Vigo,ES1,laliga,Spain,2023,2023-24,2022-23,38,10,11,17,41,1.08,26.32,46,57,-11,-0.289,-0.05,-2.63,-0.026,Decline
940,Celta de Vigo,ES1,laliga,Spain,2024,2024-25,2023-24,38,16,7,15,55,1.45,42.11,59,57,2,0.053,0.37,15.79,0.342,Improvement
631,Chelsea FC,GB1,premier-league,England,2020,2020-21,,38,19,10,9,67,1.76,50,58,36,22,0.579,,,,No consecutive comparison
631,Chelsea FC,GB1,premier-league,England,2021,2021-22,2020-21,38,21,11,6,74,1.95,55.26,76,33,43,1.132,0.19,5.26,0.553,Improvement
631,Chelsea FC,GB1,premier-league,England,2022,2022-23,2021-22,38,11,11,16,44,1.16,28.95,38,47,-9,-0.237,-0.79,-26.31,-1.369,Decline
631,Chelsea FC,GB1,premier-league,England,2023,2023-24,2022-23,38,18,9,11,63,1.66,47.37,77,63,14,0.368,0.5,18.42,0.605,Improvement
631,Chelsea FC,GB1,premier-league,England,2024,2024-25,2023-24,38,20,9,9,69,1.82,52.63,64,43,21,0.553,0.16,5.26,0.185,Improvement
3524,Clermont Foot 63,FR1,ligue-1,France,2021,2021-22,,38,9,9,20,36,0.95,23.68,38,69,-31,-0.816,,,,No consecutive comparison
3524,Clermont Foot 63,FR1,ligue-1,France,2022,2022-23,2021-22,38,17,8,13,59,1.55,44.74,45,49,-4,-0.105,0.6,21.06,0.711,Improvement
3524,Clermont Foot 63,FR1,ligue-1,France,2023,2023-24,2022-23,34,5,10,19,25,0.74,14.71,26,60,-34,-1,-0.81,-30.03,-0.895,Decline
1047,Como 1907,IT1,serie-a,Italy,2024,2024-25,,38,13,10,15,49,1.29,34.21,49,52,-3,-0.079,,,,No consecutive comparison
873,Crystal Palace,GB1,premier-league,England,2020,2020-21,,38,12,8,18,44,1.16,31.58,41,66,-25,-0.658,,,,No consecutive comparison
873,Crystal Palace,GB1,premier-league,England,2021,2021-22,2020-21,38,11,15,12,48,1.26,28.95,50,46,4,0.105,0.1,-2.63,0.763,Improvement
873,Crystal Palace,GB1,premier-league,England,2022,2022-23,2021-22,38,11,12,15,45,1.18,28.95,40,49,-9,-0.237,-0.08,0,-0.342,Decline
873,Crystal Palace,GB1,premier-league,England,2023,2023-24,2022-23,38,13,10,15,49,1.29,34.21,57,58,-1,-0.026,0.11,5.26,0.211,Improvement
873,Crystal Palace,GB1,premier-league,England,2024,2024-25,2023-24,38,13,14,11,53,1.39,34.21,51,51,0,0,0.1,0,0.026,Improvement
1108,Deportivo Alavés,ES1,laliga,Spain,2020,2020-21,,38,9,11,18,38,1,23.68,36,57,-21,-0.553,,,,No consecutive comparison
1108,Deportivo Alavés,ES1,laliga,Spain,2021,2021-22,2020-21,38,8,7,23,31,0.82,21.05,31,65,-34,-0.895,-0.18,-2.63,-0.342,Decline
1108,Deportivo Alavés,ES1,laliga,Spain,2023,2023-24,2021-22,38,12,10,16,46,1.21,31.58,36,46,-10,-0.263,,,,No consecutive comparison
1108,Deportivo Alavés,ES1,laliga,Spain,2024,2024-25,2023-24,38,10,12,16,42,1.11,26.32,38,48,-10,-0.263,-0.1,-5.26,0,Decline
2969,Dijon FCO,FR1,ligue-1,France,2020,2020-21,,38,4,9,25,21,0.55,10.53,25,73,-48,-1.263,,,,No consecutive comparison
24,Eintracht Frankfurt,L1,bundesliga,Germany,2020,2020-21,,34,16,12,6,60,1.76,47.06,69,53,16,0.471,,,,No consecutive comparison
24,Eintracht Frankfurt,L1,bundesliga,Germany,2021,2021-22,2020-21,34,10,12,12,42,1.24,29.41,45,49,-4,-0.118,-0.52,-17.65,-0.589,Decline
24,Eintracht Frankfurt,L1,bundesliga,Germany,2022,2022-23,2021-22,34,13,11,10,50,1.47,38.24,58,52,6,0.176,0.23,8.83,0.294,Improvement
24,Eintracht Frankfurt,L1,bundesliga,Germany,2023,2023-24,2022-23,34,11,14,9,47,1.38,32.35,51,50,1,0.029,-0.09,-5.89,-0.147,Decline
24,Eintracht Frankfurt,L1,bundesliga,Germany,2024,2024-25,2023-24,34,17,9,8,60,1.76,50,68,46,22,0.647,0.38,17.65,0.618,Improvement
1531,Elche CF,ES1,laliga,Spain,2020,2020-21,,38,8,12,18,36,0.95,21.05,34,55,-21,-0.553,,,,No consecutive comparison
1531,Elche CF,ES1,laliga,Spain,2021,2021-22,2020-21,38,11,9,18,42,1.11,28.95,40,52,-12,-0.316,0.16,7.9,0.237,Improvement
1531,Elche CF,ES1,laliga,Spain,2022,2022-23,2021-22,38,5,10,23,25,0.66,13.16,30,67,-37,-0.974,-0.45,-15.79,-0.658,Decline
1095,ESTAC Troyes,FR1,ligue-1,France,2021,2021-22,,38,9,11,18,38,1,23.68,37,53,-16,-0.421,,,,No consecutive comparison
1095,ESTAC Troyes,FR1,ligue-1,France,2022,2022-23,2021-22,38,4,12,22,24,0.63,10.53,45,81,-36,-0.947,-0.37,-13.15,-0.526,Decline
29,Everton FC,GB1,premier-league,England,2020,2020-21,,38,17,8,13,59,1.55,44.74,47,48,-1,-0.026,,,,No consecutive comparison
29,Everton FC,GB1,premier-league,England,2021,2021-22,2020-21,38,11,6,21,39,1.03,28.95,43,66,-23,-0.605,-0.52,-15.79,-0.579,Decline
29,Everton FC,GB1,premier-league,England,2022,2022-23,2021-22,38,8,12,18,36,0.95,21.05,34,57,-23,-0.605,-0.08,-7.9,0,Decline
