player_id,player_name,age,position,sub_position,club_name,competition_name,country_name,minutes_played,market_value_in_eur,value_percentile_within_position_age,current_performance_percentile,qualified_seasons,average_performance_percentile,performance_percentile_stddev,minimum_performance_percentile,total_qualified_minutes,yoy_performance_percentile_change,yoy_market_value_change_eur,consistency_profile,lower_risk_position_rank,lower_risk_overall_rank
534033,Alexis Mac Allister,26,Midfield,Central Midfield,Liverpool FC,premier-league,England,2609,100000000,66.88,70.83,5,71.55,9.58,55.32,11337,-6.4,25000000,Stable,31,84
249565,Youri Tielemans,28,Midfield,Central Midfield,Aston Villa,premier-league,England,3032,38000000,72.39,65.63,5,71.5,13.08,52.75,12996,-20.51,13000000,Stable,32,85
185077,Vincenzo Grifo,32,Attack,Left Winger,SC Freiburg,bundesliga,Germany,2455,6000000,58.33,71.01,5,71.13,6.17,65.15,12350,5.86,-3000000,Very stable,19,86
520624,Bruno Guimarães,27,Midfield,Central Midfield,Newcastle United,premier-league,England,3287,80000000,64.33,66.67,5,70.17,8.46,59.05,13723,-15.51,-5000000,Stable,33,87
548111,Álex Baena,23,Attack,Left Winger,Villarreal CF,laliga,Spain,2608,,76,83.51,3,69.98,12.87,57.89,7152,14.97,,Stable,20,88
111873,Emiliano Martínez,32,Goalkeeper,Goalkeeper,Aston Villa,premier-league,England,3195,20000000,72.09,72,5,69.48,11.93,54.55,16010,0,-8000000,Stable,6,89
435338,Gabriel,27,Defender,Centre-Back,Arsenal FC,premier-league,England,2365,75000000,72.22,91.6,5,69.34,14.39,55.17,13884,28.9,5000000,Stable,31,90
127573,Phillipp Mwene,31,Defender,Left-Back,1.FSV Mainz 05,bundesliga,Germany,2618,1800000,10.74,78.18,3,69.33,10.73,57.39,6296,20.79,0,Stable,32,91
411975,Jules Koundé,26,Defender,Right-Back,FC Barcelona,laliga,Spain,2606,,74.36,83.74,5,69.03,11.53,57.69,13645,26.05,,Stable,33,92
388165,Yoane Wissa,28,Attack,Centre-Forward,Brentford FC,premier-league,England,2929,,73.91,82.89,5,68.6,12.22,51.19,10995,31.7,,Stable,21,93
