from_competition_id,from_competition_name,to_competition_id,to_competition_name,transfer_count,known_fee_transfer_count,recorded_zero_fee_count,missing_or_undisclosed_fee_count,known_transfer_value_eur,average_known_fee_eur,route_frequency_rank
PO1,liga-portugal,GB1,premier-league,4,1,3,0,2100000,2100000,22
GB1,premier-league,PO1,liga-portugal,4,0,4,0,,,22
SC1,scottish-premiership,FR1,ligue-1,4,1,3,0,1000000,1000000,22
IT1,serie-a,BRA1,campeonato-brasileiro-serie-a,4,1,3,0,800000,800000,22
IT1,serie-a,PO1,liga-portugal,4,0,3,1,,,22
IT1,serie-a,RU1,premier-liga,4,1,3,0,2000000,2000000,22
C1,super-league,L1,bundesliga,4,1,3,0,450000,450000,22
DK1,superliga,GB1,premier-league,4,1,3,0,2500000,2500000,22
L1,bundesliga,A1,bundesliga,3,0,3,0,,,23
A1,bundesliga,FR1,ligue-1,3,2,1,0,18000000,9000000,23
L1,bundesliga,PL1,pko-bp-ekstraklasa,3,1,2,0,1200000,1200000,23
A1,bundesliga,IT1,serie-a,3,1,2,0,1500000,1500000,23
L1,bundesliga,C1,super-league,3,0,3,0,,,23
BRA1,campeonato-brasileiro-serie-a,GB1,premier-league,3,1,2,0,16000000,16000000,23
NL1,eredivisie,ES1,laliga,3,0,3,0,,,23
ES1,laliga,MEX1,liga-mx-clausura,3,0,3,0,,,23
ES1,laliga,MLS1,major-league-soccer,3,0,3,0,,,23
FR1,ligue-1,A1,bundesliga,3,0,2,1,,,23
FR1,ligue-1,BRA1,campeonato-brasileiro-serie-a,3,1,2,0,400000,400000,23
FR1,ligue-1,KR1,supersport-hnl,3,1,1,1,1200000,1200000,23
MLS1,major-league-soccer,IT1,serie-a,3,1,2,0,6000000,6000000,23
GB1,premier-league,MLS1,major-league-soccer,3,0,3,0,,,23
GB1,premier-league,RU1,premier-liga,3,1,2,0,5000000,5000000,23
GB1,premier-league,DK1,superliga,3,0,2,1,,,23
UKR1,premier-liga,FR1,ligue-1,3,1,2,0,300000,300000,23
IT1,serie-a,A1,bundesliga,3,0,3,0,,,23
IT1,serie-a,DK1,superliga,3,0,3,0,,,23
C1,super-league,IT1,serie-a,3,0,3,0,,,23
GR1,super-league-1,L1,bundesliga,3,0,3,0,,,23
GR1,super-league-1,ES1,laliga,3,0,3,0,,,23
GR1,super-league-1,FR1,ligue-1,3,0,3,0,,,23
GR1,super-league-1,IT1,serie-a,3,1,2,0,250000,250000,23
SER1,super-liga-srbije,FR1,ligue-1,3,2,1,0,7700000,3850000,23
DK1,superliga,FR1,ligue-1,3,2,1,0,11500000,5750000,23
DK1,superliga,IT1,serie-a,3,1,2,0,900000,900000,23
KR1,supersport-hnl,L1,bundesliga,3,1,1,1,7500000,7500000,23
SE1,allsvenskan,L1,bundesliga,2,1,0,1,1200000,1200000,24
SE1,allsvenskan,GB1,premier-league,2,0,2,0,,,24
SE1,allsvenskan,IT1,serie-a,2,1,1,0,500000,500000,24
L1,bundesliga,ES1,laliga,2,1,1,0,1500000,1500000,24
TS1,chance-liga,IT1,serie-a,2,2,0,0,6000000,3000000,24
ES1,laliga,TS1,chance-liga,2,1,1,0,500000,500000,24
ES1,laliga,RU1,premier-liga,2,0,2,0,,,24
ES1,laliga,SA1,saudi-pro-league,2,0,2,0,,,24
MEX1,liga-mx-clausura,ES1,laliga,2,0,2,0,,,24
PO1,liga-portugal,IT1,serie-a,2,0,2,0,,,24
FR1,ligue-1,AUS1,a-league-men,2,0,2,0,,,24
FR1,ligue-1,MLS1,major-league-soccer,2,1,1,0,3270000,3270000,24
FR1,ligue-1,RU1,premier-liga,2,1,1,0,4100000,4100000,24
FR1,ligue-1,SC1,scottish-premiership,2,0,2,0,,,24
MLS1,major-league-soccer,FR1,ligue-1,2,1,1,0,1500000,1500000,24
MLS1,major-league-soccer,GB1,premier-league,2,0,2,0,,,24
GB1,premier-league,SE1,allsvenskan,2,0,2,0,,,24
GB1,premier-league,PL1,pko-bp-ekstraklasa,2,0,2,0,,,24
GB1,premier-league,SA1,saudi-pro-league,2,0,2,0,,,24
RU1,premier-liga,L1,bundesliga,2,0,2,0,,,24
RU1,premier-liga,FR1,ligue-1,2,1,1,0,3500000,3500000,24
RU1,premier-liga,GB1,premier-league,2,0,2,0,,,24
IT1,serie-a,NO1,eliteserien,2,1,0,1,650000,650000,24
IT1,serie-a,C1,super-league,2,0,1,1,,,24
IT1,serie-a,SER1,super-liga-srbije,2,0,1,1,,,24
IT1,serie-a,KR1,supersport-hnl,2,0,2,0,,,24
KR1,supersport-hnl,FR1,ligue-1,2,1,1,0,1000000,1000000,24
ARG1,torneo-apertura,IT1,serie-a,2,0,2,0,,,24
AUS1,a-league-men,FR1,ligue-1,1,0,1,0,,,25
SE1,allsvenskan,FR1,ligue-1,1,0,1,0,,,25
L1,bundesliga,NO1,eliteserien,1,0,1,0,,,25
L1,bundesliga,MEX1,liga-mx-clausura,1,1,0,0,900000,900000,25
A1,bundesliga,GB1,premier-league,1,0,1,0,,,25
L1,bundesliga,UKR1,premier-liga,1,0,1,0,,,25
L1,bundesliga,RU1,premier-liga,1,0,1,0,,,25
L1,bundesliga,SA1,saudi-pro-league,1,0,1,0,,,25
L1,bundesliga,KR1,supersport-hnl,1,0,1,0,,,25
TS1,chance-liga,ES1,laliga,1,0,1,0,,,25
NO1,eliteserien,FR1,ligue-1,1,1,0,0,4000000,4000000,25
JAP1,j1-league,GB1,premier-league,1,0,0,1,,,25
ES1,laliga,C1,super-league,1,0,1,0,,,25
ES1,laliga,KR1,supersport-hnl,1,0,1,0,,,25
ES1,laliga,COL1,,1,0,1,0,,,25
PO1,liga-portugal,L1,bundesliga,1,1,0,0,300000,300000,25
FR1,ligue-1,PL1,pko-bp-ekstraklasa,1,0,1,0,,,25
FR1,ligue-1,UKR1,premier-liga,1,0,1,0,,,25
FR1,ligue-1,SA1,saudi-pro-league,1,0,1,0,,,25
FR1,ligue-1,SER1,super-liga-srbije,1,0,1,0,,,25
FR1,ligue-1,DK1,superliga,1,0,1,0,,,25
PL1,pko-bp-ekstraklasa,FR1,ligue-1,1,1,0,0,1500000,1500000,25
PL1,pko-bp-ekstraklasa,IT1,serie-a,1,1,0,0,300000,300000,25
GB1,premier-league,A1,bundesliga,1,0,1,0,,,25
GB1,premier-league,BRA1,campeonato-brasileiro-serie-a,1,0,1,0,,,25
GB1,premier-league,RSK1,k-league-1,1,1,0,0,1600000,1600000,25
GB1,premier-league,C1,super-league,1,0,1,0,,,25
GB1,premier-league,KR1,supersport-hnl,1,0,1,0,,,25
UKR1,premier-liga,L1,bundesliga,1,0,1,0,,,25
RU1,premier-liga,ES1,laliga,1,0,1,0,,,25
UKR1,premier-liga,IT1,serie-a,1,1,0,0,600000,600000,25
SA1,saudi-pro-league,ES1,laliga,1,0,1,0,,,25
SA1,saudi-pro-league,GB1,premier-league,1,0,1,0,,,25
IT1,serie-a,AUS1,a-league-men,1,0,1,0,,,25
IT1,serie-a,SE1,allsvenskan,1,0,1,0,,,25
IT1,serie-a,MLS1,major-league-soccer,1,0,1,0,,,25
IT1,serie-a,SA1,saudi-pro-league,1,1,0,0,2800000,2800000,25
IT1,serie-a,RO1,superliga,1,0,1,0,,,25
C1,super-league,GB1,premier-league,1,0,1,0,,,25
SER1,super-liga-srbije,IT1,serie-a,1,0,1,0,,,25
RO1,superliga,FR1,ligue-1,1,1,0,0,4000000,4000000,25
RO1,superliga,IT1,serie-a,1,0,1,0,,,25
KR1,supersport-hnl,ES1,laliga,1,0,1,0,,,25
KR1,supersport-hnl,GB1,premier-league,1,0,1,0,,,25
