player_id,player_name,position,sub_position,country_of_citizenship,age_at_season_end,previous_season_label,current_season_label,previous_clubs,current_clubs,previous_minutes_played,current_minutes_played,minutes_change,previous_goal_contributions_per_90,current_goal_contributions_per_90,goal_contributions_per_90_change,previous_ending_market_value_eur,current_ending_market_value_eur,market_value_change_eur,market_value_percentage_change,value_and_performance_growth_rank
503991,Yunus Musah,Midfield,Central Midfield,United States,21,2022-23,2023-24,Valencia CF,AC Milan,2121,1470,-651,0.085,0.122,0.037,18000000,22000000,4000000,22.22,423
414908,Marshall Munetsi,Midfield,Central Midfield,Zimbabwe,27,2021-22,2022-23,Stade Reims,Stade Reims,1885,2707,822,0.334,0.366,0.032,5000000,9000000,4000000,80,424
124410,Rani Khedira,Midfield,Defensive Midfield,Tunisia,29,2021-22,2022-23,1.FC Union Berlin,1.FC Union Berlin,2765,2888,123,0.033,0.062,0.029,6000000,10000000,4000000,66.67,425
188888,Sheraldo Becker,Attack,Left Winger,Suriname,27,2020-21,2021-22,1.FC Union Berlin,1.FC Union Berlin,1115,1770,655,0.484,0.508,0.024,3000000,7000000,4000000,133.33,426
410158,Rodrigo Becão,Defender,Centre-Back,Brazil,27,2021-22,2022-23,Udinese Calcio,Udinese Calcio,3132,2487,-645,0.086,0.109,0.023,6000000,10000000,4000000,66.67,427
289592,Orel Mangala,Midfield,Defensive Midfield,Belgium,26,2022-23,2023-24,Nottingham Forest,"Nottingham Forest, Olympique Lyon",1555,1967,412,0.116,0.137,0.021,16000000,20000000,4000000,25,428
491693,Nehuén Pérez,Defender,Centre-Back,Argentina,23,2021-22,2022-23,Udinese Calcio,Udinese Calcio,1695,2826,1131,0.053,0.064,0.011,6000000,10000000,4000000,66.67,429
357885,Pablo Fornals,Midfield,Central Midfield,Spain,26,2020-21,2021-22,West Ham United,West Ham United,2584,2802,218,0.313,0.321,0.008,18000000,22000000,4000000,22.22,430
341051,Kyle Walker-Peters,Defender,Right-Back,England,25,2020-21,2021-22,Southampton FC,Southampton FC,2649,2632,-17,0.102,0.103,0.001,18000000,22000000,4000000,22.22,431
242273,Pedro Chirivella,Midfield,Defensive Midfield,Spain,25,2020-21,2021-22,FC Nantes,FC Nantes,2282,2646,364,0.079,0.136,0.057,3200000,7000000,3800000,118.75,432
