player_id,player_name,position,sub_position,country_of_citizenship,club_id,club_name,competition_id,competition_name,country_name,season,season_label,age_at_season_end,appearances,minutes_played,goals,assists,goal_contributions,goals_per_90,assists_per_90,goal_contributions_per_90,club_matches,club_points_per_match,availability_percentage,productivity_percentile,availability_percentile,productivity_percentile_score,availability_percentile_score,productivity_availability_score,combined_position_league_season_rank,combined_league_season_rank,combined_overall_rank
58358,Thomas Müller,Attack,Second Striker,Germany,27,Bayern Munich,L1,bundesliga,Germany,2020,2020-21,31,32,2685,11,21,32,0.369,0.704,1.073,34,2.29,87.75,0.892857143,0.857142857,89.29,85.71,87.5,4,5,142
240306,Bruno Fernandes,Midfield,Attacking Midfield,Portugal,985,Manchester United,GB1,premier-league,England,2020,2020-21,26,37,3109,18,11,29,0.521,0.318,0.839,38,1.95,90.91,1,0.857142857,100,85.71,92.86,1,6,43
202318,Farid Boulaya,Midfield,Attacking Midfield,Algeria,347,FC Metz,FR1,ligue-1,France,2020,2020-21,28,33,2823,6,8,14,0.191,0.255,0.446,38,1.24,82.54,0.894736842,0.859649123,89.47,85.96,87.72,3,6,137
161011,Filip Kostić,Midfield,Left Midfield,Serbia,24,Eintracht Frankfurt,L1,bundesliga,Germany,2020,2020-21,28,30,2536,4,17,21,0.142,0.603,0.745,34,1.76,82.88,0.954545455,0.795454545,95.45,79.55,87.5,1,6,143
284857,Marc Cucurella,Defender,Left-Back,Spain,3709,Getafe CF,ES1,laliga,Spain,2020,2020-21,22,37,3249,3,2,5,0.083,0.055,0.139,38,1,95,0.774647887,1,77.46,100,88.73,2,6,117
96341,Romelu Lukaku,Attack,Centre-Forward,Belgium,46,Inter Milan,IT1,serie-a,Italy,2020,2020-21,28,36,2888,24,10,34,0.748,0.312,1.06,38,2.39,84.44,1,0.8,100,80,90,1,6,91
476344,Emerson Royal,Defender,Right-Back,Brazil,150,Real Betis Balompié,ES1,laliga,Spain,2020,2020-21,22,34,2989,1,4,5,0.03,0.12,0.151,38,1.61,87.4,0.845070423,0.915492958,84.51,91.55,88.03,3,7,128
418560,Erling Haaland,Attack,Centre-Forward,Norway,16,Borussia Dortmund,L1,bundesliga,Germany,2020,2020-21,20,28,2410,27,8,35,1.008,0.299,1.307,34,1.88,78.76,0.964285714,0.714285714,96.43,71.43,83.93,5,7,216
55735,Henrikh Mkhitaryan,Midfield,Central Midfield,Armenia,12,Associazione Sportiva Roma,IT1,serie-a,Italy,2020,2020-21,32,34,2747,13,11,24,0.426,0.36,0.786,38,1.63,80.32,0.984848485,0.803030303,98.48,80.3,89.39,4,7,103
57216,Ismaël Traoré,Defender,Centre-Back,Cote d'Ivoire,1420,Angers SCO,FR1,ligue-1,France,2020,2020-21,34,34,2994,3,3,6,0.09,0.09,0.18,38,1.16,87.54,0.855263158,0.842105263,85.53,84.21,84.87,2,7,193
181579,James Ward-Prowse,Midfield,Central Midfield,England,180,Southampton FC,GB1,premier-league,England,2020,2020-21,26,38,3420,8,7,15,0.211,0.184,0.395,38,1.13,100,0.875,0.964285714,87.5,96.43,91.96,2,7,58
92571,Aaron Cresswell,Defender,Left-Back,England,379,West Ham United,GB1,premier-league,England,2020,2020-21,31,36,3172,0,8,8,0,0.227,0.227,38,1.71,92.75,0.935897436,0.884615385,93.59,88.46,91.03,3,8,78
165007,Denis Suárez,Midfield,Attacking Midfield,Spain,940,Celta de Vigo,ES1,laliga,Spain,2020,2020-21,27,35,2862,0,9,9,0,0.283,0.283,38,1.39,83.68,0.818181818,0.863636364,81.82,86.36,84.09,2,8,209
327251,Ridle Baku,Defender,Right-Back,Germany,82,VfL Wolfsburg,L1,bundesliga,Germany,2020,2020-21,23,32,2689,6,8,14,0.201,0.268,0.469,34,1.79,87.88,0.980392157,0.68627451,98.04,68.63,83.33,2,8,238
555076,Romain Faivre,Midfield,Attacking Midfield,France,3911,Stade Brestois 29,FR1,ligue-1,France,2020,2020-21,22,36,2902,6,5,11,0.186,0.155,0.341,38,1.08,84.85,0.789473684,0.894736842,78.95,89.47,84.21,4,8,207
266302,Sergej Milinković-Savić,Midfield,Central Midfield,Serbia,398,Società Sportiva Lazio S.p.A.,IT1,serie-a,Italy,2020,2020-21,26,32,2755,8,10,18,0.261,0.327,0.588,38,1.79,80.56,0.954545455,0.818181818,95.45,81.82,88.64,5,8,119
93707,Christian Günter,Defender,Left-Back,Germany,60,SC Freiburg,L1,bundesliga,Germany,2020,2020-21,28,34,3060,3,3,6,0.088,0.088,0.176,34,1.32,100,0.705882353,0.960784314,70.59,96.08,83.33,3,9,241
59561,Dani Parejo,Midfield,Central Midfield,Spain,1050,Villarreal CF,ES1,laliga,Spain,2020,2020-21,32,36,3120,3,5,8,0.087,0.144,0.231,38,1.53,91.23,0.681818182,1,68.18,100,84.09,3,9,210
73926,Davide Faraoni,Defender,Right-Back,Italy,276,Hellas Verona,IT1,serie-a,Italy,2020,2020-21,29,34,2894,4,6,10,0.124,0.187,0.311,38,1.18,84.62,0.911764706,0.838235294,91.18,83.82,87.5,3,9,145
